Trans ID,ของ,วันที่,ชื่อสินค้า,จำนวน,ราคาต่อหน่วย,รวมทั้งสิ้น
548,เต่า,1/24/2023 0:00,น้ำตาลทรายแดง,1,25,25
548,เต่า,1/24/2023 0:00,ปลากระป๋อง 3 แม่ครัว 155g * 10,2,20,40
612,เต่า,1/25/2023 0:00,ขนมจีน,1,12,12
622,เต่า,1/25/2023 0:00,ช้าง เบียร์,1,60,60
,เต่า Total,,,,,1213
61,เพชร,1/16/2023 0:00,น้ำจิ้มสุกี้กวางตุ้ง พันท้าย 330g * 6,1,60,60
61,เพชร,1/16/2023 0:00,เต้าหู้ไข่ไก่ ตราแม่บ้าน 105g*10,2,11,22
61,เพชร,1/16/2023 0:00,เอสขวด,1,10,10
61,เพชร,1/16/2023 0:00,BKP แฟรงค์ไก่รมควันหนังกรอบ 500g,1,85,85
61,เพชร,1/16/2023 0:00,ฟรุ๊ตกัมมี่ดราก้อน สตรอเบอร์รี่ * 12,1,5,5
61,เพชร,1/16/2023 0:00,ไส้กรอกระเบิด SPC 500g,1,65,65
61,เพชร,1/16/2023 0:00,ทิวลี่บอล * 12,2,5,10
63,เพชร,1/16/2023 0:00,สบู่ อิงอร มะข้าม,1,33,33
571,เพชร,1/16/2023 0:00,โบโลน่า CP 150g * 3,1,38,38
90,เพชร,1/17/2023 0:00,m100/m150 150ml * 50,2,12,24
90,เพชร,1/17/2023 0:00,ข้าวเหนียว,1,5,5
90,เพชร,1/17/2023 0:00,ไก่ทอด,1,25,25
136,เพชร,1/17/2023 0:00,โออิชิ แตงโม,1,15,15
136,เพชร,1/17/2023 0:00,ไก่ทอด,1,25,25
164,เพชร,1/18/2023 0:00,ข้าวเหนียว,1,5,5
164,เพชร,1/18/2023 0:00,โสม 100ml * 50,1,10,10
164,เพชร,1/18/2023 0:00,กระทิงแดง 100ml * 50,1,10,10
164,เพชร,1/18/2023 0:00,กับข้าว 25,1,25,25
203,เพชร,1/18/2023 0:00,เอสขวด,1,10,10
203,เพชร,1/18/2023 0:00,กับข้าว 25,1,25,25
203,เพชร,1/18/2023 0:00,ผัดไท 35,1,35,35
203,เพชร,1/18/2023 0:00,ก๊วยจั๊บ,1,35,35
211,เพชร,1/18/2023 0:00,ไข่ไก่,10,5,50
211,เพชร,1/18/2023 0:00,เห็ดกลม,2,16,32
211,เพชร,1/18/2023 0:00,yoyo * 12,1,5,5
211,เพชร,1/18/2023 0:00,ขนมโรล Fershay Roll รส strawberry * 12 แถม 2,1,5,5
211,เพชร,1/18/2023 0:00,ทิวลี่บอล * 12,1,5,5
211,เพชร,1/18/2023 0:00,ฟรุ๊ตกัมมี่ดราก้อน สตรอเบอร์รี่ * 12,1,5,5
234,เพชร,1/19/2023 0:00,ขนมหวาน,1,12,12
234,เพชร,1/19/2023 0:00,กาแฟกระป๋อง เบอร์ดี้ burdy เขียว 180ml * 30,1,15,15
234,เพชร,1/19/2023 0:00,ไก่ทอด,1,25,25
234,เพชร,1/19/2023 0:00,ข้าวเหนียว,1,5,5
284,เพชร,1/19/2023 0:00,แฟนต้า เขียว 330ml * 12,1,13,13
284,เพชร,1/19/2023 0:00,กับข้าว 25,1,25,25
284,เพชร,1/19/2023 0:00,ฟริทซี โคล่า * 12,2,5,10
284,เพชร,1/19/2023 0:00,ฟริทซี สตอร์เบอร์รี่ * 12,2,5,10
303,เพชร,1/20/2023 0:00,แคมปัส,1,5,5
303,เพชร,1/20/2023 0:00,โอริโอ้ black pink * 9,1,6,6
304,เพชร,1/20/2023 0:00,ข้าวเหนียว,2,5,10
304,เพชร,1/20/2023 0:00,ขนมจีน,1,12,12
310,เพชร,1/20/2023 0:00,ไก่เสียบไม้ 35,1,40,40
312,เพชร,1/20/2023 0:00,กระทิงแดง extra abc 145ml * 10,1,10,10
312,เพชร,1/20/2023 0:00,ข้าวเหนียว,1,5,5
312,เพชร,1/20/2023 0:00,ไก่เสียบไม้ เล็ก,2,10,20
312,เพชร,1/20/2023 0:00,กาแฟกระป๋อง เบอร์ดี้ burdy เขียว 180ml * 30,1,15,15
346,เพชร,1/20/2023 0:00,ข้าวต้ม มาม่า เล้งแซ่บ * 6,3,20,60
346,เพชร,1/20/2023 0:00,เอสขวด,1,10,10
346,เพชร,1/20/2023 0:00,โออิชิ แตงโม,1,15,15
346,เพชร,1/20/2023 0:00,ขนมจีน,1,12,12
346,เพชร,1/20/2023 0:00,ขนม,1,5,5
346,เพชร,1/20/2023 0:00,ขนมโรล Fershay Roll รสกล้วย * 12,1,5,5
346,เพชร,1/20/2023 0:00,ไข่ไก่,5,5,25
380,เพชร,1/21/2023 0:00,ทวิสโก้รสบาร์บีคิว 68g * 3,1,20,20
382,เพชร,1/21/2023 0:00,กับข้าว 25,3,25,75
382,เพชร,1/21/2023 0:00,กาแฟกระป๋อง เบอร์ดี้ burdy เขียว 180ml * 30,1,15,15
382,เพชร,1/21/2023 0:00,ขนมหวาน,1,12,12
419,เพชร,1/21/2023 0:00,ปูอัดสลัด,1,35,35
437,เพชร,1/23/2023 0:00,กับข้าว 25,1,25,25
437,เพชร,1/23/2023 0:00,ขนมหวาน,1,12,12
437,เพชร,1/23/2023 0:00,น้ำผลไม้ D ใหญ่,1,10,10
476,เพชร,1/23/2023 0:00,เห็ดเข็มทอง,1,16,16
476,เพชร,1/23/2023 0:00,BKP แฟรงค์ไก่รมควันหนังกรอบ 500g,1,85,85
476,เพชร,1/23/2023 0:00,หอยดอง,1,12,12
476,เพชร,1/23/2023 0:00,ไข่ไก่,5,5,25
476,เพชร,1/23/2023 0:00,ปลากระป๋อง ซีเชฟ * 10,2,20,40
478,เพชร,1/23/2023 0:00,ขนมหวาน,1,12,12
478,เพชร,1/23/2023 0:00,เป๊ปซี่ 300ml * 24,2,13,26
478,เพชร,1/23/2023 0:00,ไก่เสียบไม้ 40,1,40,40
479,เพชร,1/23/2023 0:00,ข้าวหอมมะลิ พนมรุ้ง 5kg,1,155,155
479,เพชร,1/23/2023 0:00,ข้าวแข็ง พิกุลแก้ว 5kg,1,115,115
486,เพชร,1/24/2023 0:00,โสม 100ml * 50,1,10,10
486,เพชร,1/24/2023 0:00,กระทิงแดง extra abc 145ml * 10,1,10,10
486,เพชร,1/24/2023 0:00,ข้าว,1,5,5
486,เพชร,1/24/2023 0:00,กับข้าว 25,1,25,25
492,เพชร,1/24/2023 0:00,ขนมโรล Fershay Roll รสกล้วย * 12,1,5,5
492,เพชร,1/24/2023 0:00,ข้าวเหนียว,1,5,5
492,เพชร,1/24/2023 0:00,กับข้าว 25,1,25,25
492,เพชร,1/24/2023 0:00,ขนมหวาน,1,12,12
551,เพชร,1/24/2023 0:00,ช้าง เบียร์,1,60,60
639,เพชร,1/25/2023 0:00,แฟนต้า เขียว 330ml * 12,1,13,13
639,เพชร,1/25/2023 0:00,มโนราห์เผือก * 12,1,5,5
639,เพชร,1/25/2023 0:00,FF มะเขือเทศ,1,5,5
639,เพชร,1/25/2023 0:00,แคปหมู,2,10,20
708,เพชร,1/26/2023 0:00,แคปหมู,2,10,20
708,เพชร,1/26/2023 0:00,คาราด้า * 12,2,5,10
708,เพชร,1/26/2023 0:00,แฟนต้า เขียว 330ml * 12,1,13,13
708,เพชร,1/26/2023 0:00,สไปร์ท 330ml,1,13,13
722,เพชร,1/27/2023 0:00,ข้าว,1,5,5
722,เพชร,1/27/2023 0:00,ข้าวเหนียว,1,5,5
722,เพชร,1/27/2023 0:00,เนส กาแฟกระป๋อง เอสเปรสโซ เขียว * 30,1,15,15
722,เพชร,1/27/2023 0:00,โสม 100ml * 50,1,10,10
722,เพชร,1/27/2023 0:00,น้ำผลไม้ D เล็ก,1,5,5
762,เพชร,1/27/2023 0:00,ปลาทู,1,35,35
762,เพชร,1/27/2023 0:00,มิรินด้า ส้ม 345ml * 12,1,10,10
762,เพชร,1/27/2023 0:00,นมข้นหวาน มะลิ 355g * 6,1,29,29
765,เพชร,1/27/2023 0:00,บิสชิน รสมะพร้าว * 12,2,6,12
765,เพชร,1/27/2023 0:00,ทิวลี่ บิ๊กแบง ซอล์ดเท็คคาราเมล * 1,3,5,15
765,เพชร,1/27/2023 0:00,โอริโอ้ black pink * 9,1,6,6
765,เพชร,1/27/2023 0:00,โอริโอ้ รส สตอร์เบอร์รี่,1,5,5
,เพชร Total,,,,,1859
65,แตน,1/16/2023 0:00,สบูู่่ protex ซากุระ,1,33,33
65,แตน,1/16/2023 0:00,ปลากระป๋อง 3 แม่ครัว 155g * 10,2,20,40
83,แตน,1/17/2023 0:00,แลคตาซอย รสหวาน 300ml * 36,1,11,11
83,แตน,1/17/2023 0:00,ปลาทูทอด,1,30,30
83,แตน,1/17/2023 0:00,Hi น้ำส้ม 200%,1,15,15
172,แตน,1/18/2023 0:00,Hi น้ำส้ม 200%,1,15,15
172,แตน,1/18/2023 0:00,แลคตาซอย รสหวาน 300ml * 36,1,11,11
172,แตน,1/18/2023 0:00,กับข้าว 25,1,25,25
226,แตน,1/19/2023 0:00,Hi น้ำส้ม 200%,1,15,15
226,แตน,1/19/2023 0:00,กับข้าว 25,1,25,25
311,แตน,1/20/2023 0:00,Hi น้ำส้ม 200%,1,15,15
311,แตน,1/20/2023 0:00,แลคตาซอย รสหวาน 300ml * 36,1,11,11
377,แตน,1/21/2023 0:00,Hi น้ำส้ม 200%,1,15,15
377,แตน,1/21/2023 0:00,แลคตาซอย รสหวาน 300ml * 36,1,11,11
377,แตน,1/21/2023 0:00,กับข้าว 25,1,25,25
425,แตน,1/21/2023 0:00,ไข่ไก่,30,5,150
425,แตน,1/21/2023 0:00,แลคตาซอย รสหวาน 300ml * 36,1,11,11
425,แตน,1/21/2023 0:00,ชูรส ถ้วยแดง อายิโนะโมโตะ 250g * 20,1,31,31
425,แตน,1/21/2023 0:00,บรีสเอกเซล ผง,1,20,20
425,แตน,1/21/2023 0:00,ชูรส รสดี 165/155g * 10,1,27,27
436,แตน,1/23/2023 0:00,แลคตาซอย รสหวาน 300ml * 36,1,11,11
436,แตน,1/23/2023 0:00,กับข้าว 25,1,25,25
436,แตน,1/23/2023 0:00,Hi เลม่อน 200%,1,15,15
511,แตน,1/24/2023 0:00,Hi ส้ม 200%,1,15,15
511,แตน,1/24/2023 0:00,แลคตาซอย รสหวาน 300ml * 36,1,11,11
593,แตน,1/25/2023 0:00,แลคตาซอย รสหวาน 300ml * 36,1,11,11
593,แตน,1/25/2023 0:00,ข้าว,1,5,5
593,แตน,1/25/2023 0:00,Hi ส้ม 200%,1,15,15
694,แตน,1/26/2023 0:00,นมเปรี้ยวขวด เมจิ meiji ญ,1,25,25
694,แตน,1/26/2023 0:00,เทสโต้ รสปลา 3 รส 42g/46g * 6,1,20,20
695,แตน,1/26/2023 0:00,โปเต้ 32/27g * 6,1,10,10
725,แตน,1/27/2023 0:00,ข้าว,1,5,5
725,แตน,1/27/2023 0:00,ปลาทูทอด,1,30,30
725,แตน,1/27/2023 0:00,แลคตาซอย รสหวาน 300ml * 36,1,11,11
725,แตน,1/27/2023 0:00,Hi ส้ม 200%,1,15,15
764,แตน,1/27/2023 0:00,ปลาทู,1,35,35
764,แตน,1/27/2023 0:00,ขนมข้าวโพด รสนม,1,6,6
,แตน Total,,,,,728
87,แป๊ะ,1/17/2023 0:00,กับข้าว 25,1,25,25
87,แป๊ะ,1/17/2023 0:00,ปาท๋องโก๋ยัดสังขยา,1,12,12
87,แป๊ะ,1/17/2023 0:00,ขนมหวาน,2,12,24
87,แป๊ะ,1/17/2023 0:00,บ๊วย * 10,1,15,15
87,แป๊ะ,1/17/2023 0:00,ข้าว,2,5,10
87,แป๊ะ,1/17/2023 0:00,คาราบาว 150ml * 50,1,10,10
122,แป๊ะ,1/17/2023 0:00,เอส ฟ้า กามิกาเซ่ 360ml * 12,1,10,10
122,แป๊ะ,1/17/2023 0:00,น้ำแข็ง,1,5,5
122,แป๊ะ,1/17/2023 0:00,บ๊วย * 10,1,15,15
122,แป๊ะ,1/17/2023 0:00,ขนมหวาน,3,12,36
122,แป๊ะ,1/17/2023 0:00,ลอดช่อง ล,1,12,12
366,แป๊ะ,1/21/2023 0:00,ข้าว,3,5,15
366,แป๊ะ,1/21/2023 0:00,ปาท๋องโก๋ยัดสังขยา,1,12,12
366,แป๊ะ,1/21/2023 0:00,กาแฟกระป๋อง โรบัสต้า เบอร์ดี้ burdy แดง 180ml * 30,1,15,15
366,แป๊ะ,1/21/2023 0:00,กับข้าว 25,2,25,50
405,แป๊ะ,1/21/2023 0:00,น้ำแข็ง,1,5,5
405,แป๊ะ,1/21/2023 0:00,มิรินด้า ลิ้นจี่ 345ml * 12,1,10,10
405,แป๊ะ,1/21/2023 0:00,ปลากระป๋อง โรซ่า,2,20,40
405,แป๊ะ,1/21/2023 0:00,ไข่ไก่,6,5,30
405,แป๊ะ,1/21/2023 0:00,ปลาทูทอด,1,30,30
440,แป๊ะ,1/23/2023 0:00,กับข้าว 25,3,25,75
440,แป๊ะ,1/23/2023 0:00,เบอร์ดี้ กาแฟกระป๋อง โรบัสต้า 180ml * 30,1,15,15
440,แป๊ะ,1/23/2023 0:00,ปาท๋องโก๋ยัดสังขยา,1,12,12
440,แป๊ะ,1/23/2023 0:00,น้ำ ใหญ่ * 6,1,10,10
440,แป๊ะ,1/23/2023 0:00,ขนมหวาน,1,12,12
450,แป๊ะ,1/23/2023 0:00,ข้าวเหนียว,3,5,15
474,แป๊ะ,1/23/2023 0:00,แฟนต้า องุ่น 330ml * 12,1,13,13
474,แป๊ะ,1/23/2023 0:00,ลอดช่อง ล,2,12,24
474,แป๊ะ,1/23/2023 0:00,น้ำแข็ง,1,5,5
474,แป๊ะ,1/23/2023 0:00,เลย์ 20,1,20,20
501,แป๊ะ,1/24/2023 0:00,ข้าวกล่อง 35,1,35,35
501,แป๊ะ,1/24/2023 0:00,ขนมหวาน,2,12,24
501,แป๊ะ,1/24/2023 0:00,บ๊วย * 10,1,15,15
501,แป๊ะ,1/24/2023 0:00,เบอร์ดี้ กาแฟกระป๋อง โรบัสต้า แดง 180ml * 30,1,15,15
501,แป๊ะ,1/24/2023 0:00,ข้าว,2,5,10
501,แป๊ะ,1/24/2023 0:00,กับข้าว 25,1,25,25
541,แป๊ะ,1/24/2023 0:00,น้ำแข็ง,1,5,5
541,แป๊ะ,1/24/2023 0:00,เอส ขาว ลิ้นจี่ 360ml * 12,1,10,10
541,แป๊ะ,1/24/2023 0:00,กระเทียม,1,10,10
541,แป๊ะ,1/24/2023 0:00,พริกป่น,1,10,10
541,แป๊ะ,1/24/2023 0:00,จ๋อม เล็ก,2,12,24
541,แป๊ะ,1/24/2023 0:00,แจ๋ว,1,12,12
