location,type,name,price,totalPrice,quantityPerPack,originalPrice,salePrice,profit,instock,message
makro,มาม่า/โจ๊ก/กระป๋อง,ข้าวต้ม กระเทียม * 6,20,95,6,15.83333333,18.20833333,4.166666667,0,-10
makro,เครื่องดื่ม,Schwepp 330ml * 24,15,319,24,13.29166667,15.28541667,1.708333333,0,-10
ตลาดแก่งคอย,กับข้าวสด,ข้าวโพดคั่ว,12,10,1,10,11.5,2,0,-10
makro,เครื่องดื่ม,Ready * 10,14,119,10,11.9,13.685,2.1,0,-10
makro,เครื่องดื่ม,สุรา 40,40,35,1,35,40.25,5,0,-10
ตลาดแก่งคอย,กับข้าวสด,ปลาทูทอด 35,35,30,1,30,34.5,5,0,-10
makro,มาม่า/โจ๊ก/กระป๋อง,ข้าวต้ม คนอร์ * 6,26,135,6,22.5,25.875,3.5,0,-10
